"","UniqueCarrier","Ratio"
"1","MQ",0.0405983266066177
"2","OH",0.0331079406850293
"3","EV",0.0326018991624087
"4","DH",0.0319978298730101
"5","UA",0.027924193799913
"6","AS",0.0278798282902839
"7","US",0.0267785636765091
"8","AQ",0.025634697843724
"9","DL",0.0240815169093775
"10","AA",0.0238414967199401
"11","TW",0.0214925408125786
"12","HP",0.0210183846740049
"13","XE",0.0195378862013394
"14","NW",0.019192924711936
"15","OO",0.0188168277197625
"16","CO",0.0133204967168849
"17","FL",0.0120859444941808
"18","WN",0.0112809484333183
"19","TZ",0.0110158989079431
"20","B6",0.00636778727785487
"21","F9",0.00328607642474885
"22","HA",0.00257467024046267
